"Latest: Time (s)","Latest: Dissolved Oxygen  (mg/L)","Latest: Salinity (ppt)","Latest: Temperature (°C)","Latest: Pressure (atm)","Latest: Sin","Latest: Square","Latest: Triangle","Latest: PWM: F=1, C=0","Latest: delta(PWM)","Latest: run #","Latest: note","Latest: DO slope (mg O2/L/sec)","Latest: respir vol (L)","Latest: fish vol (L)","Latest: fish weight (kg)","Latest: VO2 (mgO2/kg/hr)","Latest: AvgDO (mg/L)","Latest: DOcor (mg/L)"
42,7.51881321978,0.23303412937,23.9066716076,1.00075921459,0.309016994375,1,0.0978520286396,1,,,,,,,,,7.5167302334,7.50603884566
43,7.51772789621,0.231082419744,23.9071362191,1.00038263339,0.316122169413,1,0.100238663484,1,,,,,,,,,7.51721028036,7.50660852394
44,7.51870468742,0.239669942099,23.9027223947,1.00092060653,0.323209657454,1,0.102625298329,1,,,,,,,,,7.5172072987,7.50621068398
45,7.51799922711,0.229521052043,23.9064393017,1.00008674817,0.330279061955,1,0.105011933174,1,,,,,,,,,7.51718284911,7.50665259402
46,7.51848762271,0.2219093845,23.9073685247,1.00059782265,0.337329987383,1,0.107398568019,1,,,,,,,,,7.51685546304,7.50667459596
47,7.51805349328,0.215078400809,23.9066716076,1.00105509982,0.344362039239,1,0.109785202864,1,,,,,,,,,7.51631160859,7.50644401288
48,7.51734803297,0.241621651725,23.9048131579,1.00016744414,0.351374824081,1,0.112171837709,1,,,,,,,,,7.51527399156,7.50418824532
49,7.51159581807,0.252746396595,23.9036516237,1.00127028907,0.358367949545,1,0.114558472554,1,,,,,,,,,7.51419343865,7.50259703985
50,7.5125183431,0.226788658566,23.9010962402,1.00108199847,0.365341024366,1,0.116945107399,1,,,,,,,,,7.51310990408,7.50270400782
51,7.51398352991,0.226398316641,23.9055100772,1.00094750519,0.372293658402,1,0.119331742243,1,,,,,,,,,7.51206572739,7.50167856726
52,7.51273540781,0.219762503912,23.9057423835,1.00140478236,0.379225462653,1,0.121718377088,1,,,,,,,,,7.51094283494,7.50086016823
53,7.50687466056,0.228350026267,23.9017931641,1.00127028907,0.386136049286,1,0.124105011933,1,,,,,,,,,7.50989985092,7.49942244491
54,7.50682039438,0.237132719585,23.9006316237,1.00129718773,0.393025031654,1,0.126491646778,1,,,,,,,,,7.50900654613,7.49812593532
55,7.50736305617,0.240840967875,23.9003993154,1.00054402534,0.39989202432,1,0.128878281623,1,,,,,,,,,7.50816154422,7.49711073769
56,7.50720025763,0.232058274557,23.9010962402,1.00011364683,0.406736643076,1,0.131264916468,1,,,,,,,,,7.50721934024,7.49657165466
57,7.50687466056,0.218201136211,23.9022577796,0.999656369658,0.413558504967,1,0.133651551313,1,,,,,,,,,7.50587640141,7.49586474169
58,7.50774291941,0.227959684342,23.8966823687,1.0008130119,0.42035722831,1,0.136038186158,1,,,,,,,,,7.50456447183,7.49410401284
59,7.50741732234,0.244549216164,23.9003993154,1.00051712668,0.427132432717,1,0.138424821002,1,,,,,,,,,7.50313208326,7.49191112654
60,7.50150230891,0.227179000491,23.9041162377,0.999710166972,0.433883739118,1,0.140811455847,1,,,,,,,,,7.50117313385,7.49074989428
61,7.50106817949,0.223665923164,23.9073685247,1.00065161996,0.440610769776,1,0.143198090692,1,,,,,,,,,7.49909611079,7.48883465637
62,7.49634702198,0.227374171454,23.9003993154,1.00089370788,0.447313148316,1,0.145584725537,1,,,,,,,,,7.49651280217,7.48607990946
63,7.49634702198,0.221519042575,23.8985408451,1.00102820116,0.45399049974,1,0.147971360382,1,,,,,,,,,7.49355022664,7.48338565179
64,7.49070333944,0.220152845837,23.8985408451,1.00108199847,0.460642450451,1,0.150357995227,1,,,,,,,,,7.490040815,7.47993892916
65,7.4855480525,0.241426480763,23.9017931641,1.0010013025,0.467268628273,1,0.152744630072,1,,,,,,,,,7.48610681524,7.47502942103
66,7.48598218193,0.239084429211,23.8999346984,1.00129718773,0.473868662473,1,0.155131264916,1,,,,,,,,,7.48250079788,7.47153049698
67,7.47963303907,0.247086438679,23.8985408451,1.00110889713,0.480442183779,1,0.157517899761,1,,,,,,,,,7.47843023818,7.46709248333
68,7.47458628449,0.243378190389,23.8976116076,1.00170066758,0.486988824404,1,0.159904534606,1,,,,,,,,,7.47465188097,7.46348409504
69,7.46888833578,0.219372161986,23.9006316237,1.00075921459,0.493508218064,1,0.162291169451,1,,,,,,,,,7.47049723851,7.4604315541
70,7.46297332234,0.226983829529,23.9003993154,1.00049022802,0.5,1,0.164677804296,1,,,,,,,,,7.46684172562,7.45642674346
71,7.46313612088,0.23674237766,23.899470081,1.00116269444,0.506463806997,1,0.167064439141,1,,,,,,,,,7.46321066233,7.45234773469
72,7.45694977656,0.231082419744,23.8999346984,1.00097440385,0.512899277406,1,0.169451073986,1,,,,,,,,,7.45925161664,7.44864848501
73,7.45765523687,0.236547206697,23.8966823687,1.00105509982,0.519306051163,1,0.171837708831,1,,,,,,,,,7.45576546194,7.44491094456
74,7.45114329548,0.243573361351,23.8983085358,1.00148547833,0.525683769811,1,0.174224343675,1,,,,,,,,,7.45222861905,7.44105201773
75,7.45239141758,0.235571351884,23.8985408451,1.00054402534,0.532032076515,1,0.17661097852,1,,,,,,,,,7.44877347359,7.43796409752
76,7.4456081453,0.22854519723,23.8959854384,1.00167376893,0.538350616091,1,0.178997613365,1,,,,,,,,,7.44557176907,7.43508431077
77,7.44018152747,0.225032119902,23.8980762265,1.00116269444,0.544639035015,1,0.18138424821,1,,,,,,,,,7.4423766242,7.43205076262
78,7.44001872894,0.223275581239,23.8964500587,1.00083991056,0.550896981452,1,0.183770883055,1,,,,,,,,,7.43929299335,7.42904743241
79,7.43432078022,0.225812803753,23.9015608562,1.00049022802,0.557124105271,1,0.1861575179,1,,,,,,,,,7.43620697716,7.42584594343
80,7.42970815507,0.218396307173,23.8980762265,1.00062472131,0.563320058064,1,0.188544152745,1,,,,,,,,,7.43358431066,7.42356294109
81,7.42965388889,0.234985838996,23.8971469883,1.00022124145,0.569484493168,1,0.190930787589,1,,,,,,,,,7.4306777903,7.41989501017
82,7.42965388889,0.244549216164,23.8966823687,1.0008130119,0.575617065686,1,0.193317422434,1,,,,,,,,,7.42830140875,7.41707970061
83,7.42411873871,0.23674237766,23.8943592646,1.00067851862,0.581717432499,1,0.195704057279,1,,,,,,,,,7.42622259669,7.41535866869
84,7.42449860195,0.232448616482,23.8936623315,1.00129718773,0.587785252292,1,0.198090692124,1,,,,,,,,,7.42429823453,7.41363120999
85,7.42384740781,0.228350026267,23.8955208178,1.00003295085,0.593820185574,1,0.200477326969,1,,,,,,,,,7.42280382746,7.41232523742
86,7.41798666056,0.243768532314,23.8929653975,1.00073231593,0.599821894688,1,0.202863961814,1,,,,,,,,,7.42163024682,7.41044361291
87,7.41852932234,0.231082419744,23.8985408451,1.00083991056,0.605790043841,1,0.205250596659,1,,,,,,,,,7.42056758385,7.40996418595
88,7.41771532967,0.231472761669,23.8945915754,1.00067851862,0.611724299115,1,0.207637231504,1,,,,,,,,,7.41965638912,7.40903432426
89,7.41831225763,0.228935539155,23.8913392149,1.00183516087,0.61762432849,1,0.210023866348,1,,,,,,,,,7.41915606688,7.40864981696
90,7.41852932234,0.231277590706,23.8931977089,1.00124339042,0.623489801859,1,0.212410501193,1,,,,,,,,,7.41872253379,7.40810915855
91,7.41869212088,0.235571351884,23.8901776531,1.00153927564,0.62932039105,1,0.214797136038,1,,,,,,,,,7.41836592748,7.40755492224
92,7.41825799145,0.232838958407,23.897379298,1.00143168101,0.635115769842,1,0.217183770883,1,,,,,,,,,7.41805702769,7.40737280605
93,7.41874638706,0.237913403435,23.8929653975,1.00094750519,0.640875613985,1,0.219570405728,1,,,,,,,,,7.41762110927,7.40670316954
94,7.41820372527,0.236937548622,23.8901776531,1.00065161996,0.646599601216,1,0.221957040573,1,,,,,,,,,7.41683514418,7.40596144049
95,7.41858358852,0.226398316641,23.8948238861,1.00022124145,0.652287411278,1,0.224343675418,1,,,,,,,,,7.41547729706,7.40508813715
96,7.41820372527,0.234790668033,23.8911069027,1.00059782265,0.65793872594,1,0.226730310263,1,,,,,,,,,7.41358632947,7.40281133239
97,7.41326550305,0.237913403435,23.8925007744,1.00038263339,0.66355322901,1,0.229116945107,1,,,,,,,,,7.41107815863,7.40016012748
98,7.41266857509,0.24864780638,23.8959854384,0.99989845757,0.669130606359,1,0.231503579952,1,,,,,,,,,7.40834517078,7.39693524603
99,7.40773035287,0.226398316641,23.9003993154,1.00049022802,0.674670545932,1,0.233890214797,1,,,,,,,,,7.40508800742,7.39469989107
100,7.40138121001,0.212541178295,23.8999346984,1.00011364683,0.680172737771,1,0.236276849642,1,,,,,,,,,7.40138299901,7.39163062539
101,7.39638872161,0.229130710117,23.8971469883,1.00049022802,0.685636874028,1,0.238663484487,1,,,,,,,,,7.39761239411,7.38709828791
102,7.39074503907,0.256649815847,23.8929653975,1.00059782265,0.691062648987,1,0.241050119332,1,,,,,,,,,7.39355376105,7.38177599997
103,7.38982251404,0.23303412937,23.8971469883,1.00008674817,0.696449759075,1,0.243436754177,1,,,,,,,,,7.38990898213,7.37921575997
104,7.38515562271,0.220933529687,23.8987731542,1.00008674817,0.701797902884,1,0.245823389021,1,,,,,,,,,7.38639122185,7.37625355615
105,7.37983753724,0.241036138837,23.8955208178,0.999925356227,0.707106781187,1,0.248210023866,1,,,,,,,,,7.38331057265,7.37224983871
106,7.3799460696,0.224641777977,23.8943592646,1.00016744414,0.712376096951,1,0.250596658711,1,,,,,,,,,7.38075708061,7.37044843994
107,7.37430238706,0.250599516006,23.8913392149,1.00016744414,0.717605555361,1,0.252983293556,1,,,,,,,,,7.37871941544,7.36721896795
108,7.37462798413,0.231667932631,23.8925007744,1.0001943428,0.722794863827,1,0.255369928401,1,,,,,,,,,7.37681115422,7.36617973258
109,7.37468225031,0.219372161986,23.8906422781,1.00083991056,0.72794373201,1,0.257756563246,1,,,,,,,,,7.37509073747,7.3650232411
110,7.37435665324,0.239669942099,23.892733086,1.0001943428,0.73305187183,1,0.260143198091,1,,,,,,,,,7.37373646834,7.36273787431
111,7.37332559585,0.237718232473,23.8957531282,0.999952254884,0.738118997487,1,0.262529832936,1,,,,,,,,,7.3723875662,7.36147913094
112,7.37451945177,0.234790668033,23.8964500587,1.00024814011,0.743144825477,1,0.26491646778,1,,,,,,,,,7.37062421357,7.35985025395
113,7.36806177656,0.232058274557,23.8966823687,1.00016744414,0.748129074606,1,0.267303102625,1,,,,,,,,,7.36904035676,7.35839182445
114,7.36855017216,0.254307764296,23.897379298,0.999763964286,0.753071466004,1,0.26968973747,1,,,,,,,,,7.36704682012,7.35537746489
115,7.3687129707,0.22561763279,23.8934300202,1.00049022802,0.757971723145,1,0.272076372315,1,,,,,,,,,7.36498351269,7.3546299174
116,7.36350341758,0.239669942099,23.8957531282,0.999710166972,0.762829571862,1,0.27446300716,1,,,,,,,,,7.36245685557,7.35145886009
117,7.35785973504,0.24572024194,23.8945915754,1.00016744414,0.767644740358,1,0.276849642005,1,,,,,,,,,7.35995464806,7.34867877988
118,7.35775120269,0.217030110435,23.897379298,1.00030193742,0.772416959225,1,0.27923627685,1,,,,,,,,,7.35741785331,7.34745904822
119,7.35248738339,0.239474771136,23.8957531282,0.999979153541,0.777145961457,1,0.281622911695,1,,,,,,,,,7.35528477507,7.34429573561
120,7.35313857753,0.237327890547,23.8938946426,1.0001943428,0.781831482468,1,0.284009546539,1,,,,,,,,,7.35322206396,7.34233117603
121,7.34744062882,0.232253445519,23.8913392149,1.00059782265,0.786473260103,1,0.286396181384,0,,,,,,,,,7.35128637149,7.34062785708
122,7.34782049206,0.226983829529,23.8922684627,1.00035573474,0.791071034656,1,0.288782816229,0,,,,,,,,,7.34983430398,7.33941779586
123,7.34738636264,0.221714213538,23.8941269536,1.00005984951,0.795624548882,1,0.291169451074,0,,,,,,,,,7.34855696163,7.33838262207
124,7.34706076557,0.234985838996,23.8948238861,1.00059782265,0.800133548011,1,0.293556085919,0,,,,,,,,,7.34731659184,7.33653336034
125,7.34684370085,0.230301735893,23.8959854384,0.999575673687,0.804597779767,1,0.295942720764,0,,,,,,,,,7.34645489263,7.33588683046
126,7.34738636264,0.22112870065,23.8925007744,1.0001943428,0.809016994375,1,0.298329355609,0,,,,,,,,,7.3456021384,7.33545437031
127,7.34684370085,0.228740368192,23.8929653975,1.00059782265,0.813390944582,1,0.300715990453,0,,,,,,,,,7.3450648436,7.33456785807
128,7.34233960806,0.222690068351,23.8941269536,1.00051712668,0.817719385664,1,0.303102625298,0,,,,,,,,,7.34407731843,7.33385819745
129,7.34190547863,0.232643787445,23.8969146785,0.999979153541,0.822002075448,1,0.305489260143,0,,,,,,,,,7.34314465576,7.33246930051
130,7.34233960806,0.230692077818,23.8883191491,1.00065161996,0.826238774316,1,0.307875894988,0,,,,,,,,,7.34225671796,7.33166928111
131,7.34282800366,0.229521052043,23.8880868357,1.00113579579,0.830429245226,1,0.310262529833,0,,,,,,,,,7.34135089022,7.33081715258
132,7.34266520513,0.230496906856,23.8899453404,1.00008674817,0.834573253721,1,0.312649164678,0,,,,,,,,,7.34007772219,7.32949955264
133,7.3367501917,0.251575370819,23.8904099656,1.00030193742,0.838670567945,1,0.315035799523,0,,,,,,,,,7.33906872907,7.32752330455
134,7.3372385873,0.225227290865,23.8885514624,1.00054402534,0.842720958654,1,0.317422434368,0,,,,,,,,,7.33807464425,7.3277380529
135,7.33750991819,0.22483694894,23.891571527,1.00057092399,0.846724199228,1,0.319809069212,0,,,,,,,,,7.33713005495,7.32681193966
136,7.33707578877,0.241036138837,23.8890160888,1.00067851862,0.850680065687,1,0.322195704057,0,,,,,,,,,7.33579904275,7.32473701208
137,7.3322460989,0.215078400809,23.8890160888,1.00005984951,0.854588336701,1,0.324582338902,0,,,,,,,,,7.33437440649,7.32450367143
138,7.3367501917,0.241426480763,23.8866929531,1.00054402534,0.858448793602,1,0.326968973747,0,,,,,,,,,7.33261165019,7.32153124128
139,7.33154063858,0.223080410276,23.8862283248,1.00054402534,0.862261220398,1,0.329355608592,0,,,,,,,,,7.33111366514,7.32087517405
140,7.33202903419,0.214492887921,23.8911069027,1.00014054548,0.866025403784,1,0.331742243437,0,,,,,,,,,7.32956558823,7.31972209547
141,7.32671094872,0.226983829529,23.8855313816,1.00121649176,0.869741133156,1,0.334128878282,0,,,,,,,,,7.3275213634,7.31710359022
142,7.32654815018,0.219957674874,23.891571527,1.00022124145,0.873408200617,1,0.336515513126,0,,,,,,,,,7.32557314797,7.31547895011
143,7.32047033822,0.226203145678,23.8822789688,1.00075921459,0.877026400997,1,0.338902147971,0,,,,,,,,,7.32387062117,7.31348806982
144,7.32128433089,0.225227290865,23.8887837757,1.0008130119,0.880595531857,1,0.341288782816,0,,,,,,,,,7.32170534102,7.31136879297
145,7.3217727265,0.220738358725,23.8857636961,1.00057092399,0.884115393505,1,0.343675417661,0,,,,,,,,,7.31989368553,7.3097626003
146,7.31531505128,0.248452635417,23.891803839,1.00057092399,0.887585789005,1,0.346062052506,0,,,,,,,,,7.31762225836,7.30622043044
147,7.3165089072,0.227179000491,23.8894807148,1.00030193742,0.891006524188,1,0.348448687351,0,,,,,,,,,7.31542179464,7.30499580609
148,7.31612904396,0.226398316641,23.891803839,1.00051712668,0.894377407666,1,0.350835322196,0,,,,,,,,,7.31318316571,7.30279344034
149,7.31162495116,0.23303412937,23.8839051776,1.00097440385,0.897698250838,1,0.353221957041,0,,,,,,,,,7.31082169246,7.30012591782
150,7.31167921734,0.220348016799,23.8862283248,1.00108199847,0.900968867902,1,0.355608591885,0,,,,,,,,,7.30832425559,7.29821117035
151,7.30516727595,0.239669942099,23.887157581,1.00105509982,0.904189075869,1,0.35799522673,0,,,,,,,,,7.30534021212,7.29434051271
152,7.30071744933,0.226983829529,23.8938946426,1.00027503877,0.907358694568,1,0.360381861575,0,,,,,,,,,7.30236511362,7.29194891077
153,7.30093451404,0.230106564931,23.8901776531,1.00083991056,0.910477546659,1,0.36276849642,0,,,,,,,,,7.29896483067,7.28840461926
154,7.2948024359,0.225812803753,23.8846021227,1.00030193742,0.913545457643,1,0.365155131265,0,,,,,,,,,7.29550074024,7.28513653944
155,7.29474816972,0.223275581239,23.8887837757,1.00057092399,0.91656225587,1,0.36754176611,0,,,,,,,,,7.29193467709,7.28168770051
156,7.28899595482,0.226007974715,23.8859960105,1.00016744414,0.919527772551,1,0.369928400955,0,,,,,,,,,7.28830838445,7.27793548652
157,7.28367786935,0.224251436052,23.8869252671,1.00094750519,0.922441841767,1,0.3723150358,0,,,,,,,,,7.28507090004,7.27477879291
158,7.27863111477,0.240060284024,23.8813497045,1.00062472131,0.925304300474,1,0.374701670644,0,,,,,,,,,7.28188350748,7.27086473944
159,7.27846831624,0.222104555463,23.887157581,1.00035573474,0.928114988519,1,0.377088305489,0,,,,,,,,,7.27881299592,7.2686194634
160,7.2723362381,0.218981820061,23.8873898948,1.00035573474,0.930873748644,1,0.379474940334,0,,,,,,,,,7.27619450374,7.26614433187
161,7.27239050427,0.223861094127,23.8873898948,1.00022124145,0.933580426497,1,0.381861575179,0,,,,,,,,,7.27370243386,7.26342832768
162,7.27184784249,0.235766522847,23.8859960105,1.00097440385,0.93623487064,1,0.384248210024,0,,,,,,,,,7.27175123677,7.26093045896
163,7.26728948352,0.227959684342,23.8846021227,1.00027503877,0.938836932556,1,0.386634844869,0,,,,,,,,,7.27023774709,7.25977501025
164,7.26745228205,0.231277590706,23.8857636961,1.00035573474,0.941386466661,1,0.389021479714,0,,,,,,,,,7.26872902807,7.25811423055
165,7.26728948352,0.23381481322,23.8866929531,1.00046332937,0.943883330308,1,0.391408114558,0,,,,,,,,,7.26734136437,7.25661029737
166,7.26625842613,0.232838958407,23.8841374927,1.00075921459,0.946327383799,1,0.393794749403,0,,,,,,,,,7.26591136112,7.25522458919
167,7.26696388645,0.226203145678,23.8873898948,1.00043643071,0.948718490389,1,0.396181384248,0,,,,,,,,,7.26445392662,7.25407233197
168,7.26712668498,0.240645796912,23.8883191491,1.00067851862,0.951056516295,1,0.398568019093,0,,,,,,,,,7.26298575815,7.25194150295
169,7.26028914652,0.234009984183,23.8862283248,1.00105509982,0.953341330706,1,0.400954653938,0,,,,,,,,,7.26130410295,7.25056398851
170,7.26132020391,0.222494897388,23.8843698078,1.00027503877,0.955572805786,1,0.403341288783,0,,,,,,,,,7.25956400726,7.24935204668
171,7.25469973016,0.23674237766,23.8827436003,1.00108199847,0.957750816685,1,0.405727923628,0,,,,,,,,,7.25745299329,7.2465867903
172,7.25524239194,0.238498916323,23.8885514624,1.00105509982,0.959875241543,1,0.408114558473,0,,,,,,,,,7.25502353823,7.24407785832
173,7.25567652137,0.215859084659,23.8841374927,1.00145857967,0.961945961499,1,0.410501193317,0,,,,,,,,,7.2525153674,7.24260793257
174,7.24976150794,0.243963703277,23.8876222085,1.00127028907,0.963962860696,1,0.412887828162,0,,,,,,,,,7.24962375533,7.23842708668
175,7.2495987094,0.210394297706,23.8859960105,1.00067851862,0.965925826289,1,0.415274463007,0,,,,,,,,,7.24707026329,7.23741397317
176,7.24476901954,0.218396307173,23.8857636961,1.00129718773,0.967834748451,1,0.417661097852,0,,,,,,,,,7.24402300867,7.23399941506
177,7.23863694139,0.235766522847,23.8794911713,1.00124339042,0.969689520377,1,0.420047732697,0,,,,,,,,,7.24137947055,7.23055742346
178,7.23896253846,0.22483694894,23.8848344376,1.00059782265,0.971490038293,1,0.422434367542,0,,,,,,,,,7.23840079407,7.22808142561
179,7.23418711477,0.239865113062,23.8869252671,1.00032883608,0.97323620146,1,0.424821002387,0,,,,,,,,,7.23539528265,7.22438657973
180,7.23331885592,0.209418442893,23.8848344376,1.00065161996,0.974927912182,1,0.427207637232,0,,,,,,,,,7.23238798225,7.22277627882
181,7.2276209072,0.229130710117,23.8822789688,1.00065161996,0.976565075806,1,0.429594272076,0,,,,,,,,,7.22933416797,7.21881724366
182,7.22832636752,0.237913403435,23.8818143368,1.00065161996,0.978147600734,1,0.431980906921,0,,,,,,,,,7.22674191438,7.21582177967
183,7.22273695116,0.21742045236,23.8808850718,1.00049022802,0.979675398423,1,0.434367541766,0,,,,,,,,,7.22453608368,7.2145564004
184,7.22268268498,0.234400326108,23.8832082315,1.00067851862,0.981148383394,1,0.436754176611,0,,,,,,,,,7.22238451917,7.21162590379
185,7.21606221123,0.234790668033,23.883440547,1.00075921459,0.982566473233,1,0.439140811456,0,,,,,,,,,7.22062355186,7.20984706553
186,7.21535675092,0.23674237766,23.8832082315,1.00108199847,0.983929588599,1,0.441527446301,0,,,,,,,,,7.21910290621,7.20823679426
187,7.21671340537,0.222690068351,23.8806527553,1.0010013025,0.985237653224,1,0.443914081146,0,,,,,,,,,7.2180921241,7.20787052056
188,7.21665913919,0.228154855304,23.8869252671,1.00059782265,0.986490593924,1,0.44630071599,0,,,,,,,,,7.21717377339,7.20670251731
189,7.21611647741,0.239279600174,23.8832082315,1.00054402534,0.987688340595,1,0.448687350835,0,,,,,,,,,7.21672354301,7.20574097644
190,7.21644207448,0.231277590706,23.8836728623,1.00089370788,0.988830826225,1,0.45107398568,0,,,,,,,,,7.21599303676,7.20537783908
191,7.21627927595,0.228350026267,23.8841374927,1.00078611325,0.989917986892,1,0.453460620525,0,,,,,,,,,7.21561794417,7.20513720388
