Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2013-05-23 13:04:01.9, 98.00778, 2.296396, 12.21751, 101.8374
2013-05-23 13:04:03.0, 97.879, 2.296905, 12.21733, 101.8372
2013-05-23 13:04:04.0, 97.89499, 2.296842, 12.21712, 101.8369
2013-05-23 13:04:05.8, 97.88211, 2.296893, 12.21721, 101.834
2013-05-23 13:04:07.0, 98.01401, 2.296372, 12.21761, 101.8337
2013-05-23 13:04:08.2, 97.91336, 2.29677, 12.21822, 101.8303
2013-05-23 13:04:09.5, 97.83688, 2.297072, 12.21877, 101.8286
2013-05-23 13:04:11.1, 97.83316, 2.297086, 12.21985, 101.8281
2013-05-23 13:04:12.4, 97.76968, 2.297337, 12.22096, 101.8286
2013-05-23 13:04:13.6, 97.75558, 2.297393, 12.22142, 101.8298
2013-05-23 13:04:15.1, 97.74423, 2.297438, 12.2216, 101.8306
2013-05-23 13:04:16.2, 97.78824, 2.297264, 12.22226, 101.8318
2013-05-23 13:04:17.4, 97.80264, 2.297207, 12.22287, 101.8313
2013-05-23 13:04:18.7, 97.66141, 2.297765, 12.22328, 101.834
2013-05-23 13:04:19.7, 97.61136, 2.297963, 12.22369, 101.833
2013-05-23 13:04:21.1, 97.58499, 2.298068, 12.22415, 101.8333
2013-05-23 13:04:22.2, 97.6221, 2.297921, 12.2244, 101.8318
2013-05-23 13:04:23.3, 97.4985, 2.29841, 12.22501, 101.8311
2013-05-23 13:04:24.3, 97.60696, 2.297981, 12.22614, 101.8303
2013-05-23 13:04:25.3, 97.45145, 2.298596, 12.22699, 101.8281
2013-05-23 13:04:26.5, 97.40366, 2.298785, 12.2274, 101.8269
2013-05-23 13:04:27.7, 97.47684, 2.298496, 12.22803, 101.8271
2013-05-23 13:04:28.8, 97.41983, 2.298721, 12.22853, 101.8267
2013-05-23 13:04:30.3, 97.53378, 2.29827, 12.22841, 101.8259
2013-05-23 13:04:31.3, 97.54373, 2.298231, 12.22824, 101.8254
2013-05-23 13:04:32.4, 97.34903, 2.299001, 12.22791, 101.8254
2013-05-23 13:04:33.5, 97.3837, 2.298864, 12.22743, 101.8242
2013-05-23 13:04:34.8, 97.39053, 2.298837, 12.22662, 101.825
2013-05-23 13:04:35.8, 97.31888, 2.299121, 12.22589, 101.8267
2013-05-23 13:04:37.2, 97.42392, 2.298705, 12.22461, 101.8286
2013-05-23 13:04:38.2, 97.30515, 2.299175, 12.22345, 101.8296
2013-05-23 13:04:39.2, 97.25449, 2.299376, 12.22249, 101.8293
2013-05-23 13:04:40.4, 97.27567, 2.299292, 12.22258, 101.8301
2013-05-23 13:04:41.4, 97.34561, 2.299015, 12.22226, 101.8284
2013-05-23 13:04:42.4, 97.21127, 2.299547, 12.22215, 101.8267
2013-05-23 13:04:43.5, 97.32034, 2.299115, 12.22198, 101.8252
2013-05-23 13:04:44.5, 97.30893, 2.29916, 12.22147, 101.8242
2013-05-23 13:04:45.6, 97.26547, 2.299332, 12.22108, 101.8218
2013-05-23 13:04:46.6, 97.14005, 2.299829, 12.22044, 101.8196
2013-05-23 13:04:48.0, 97.10123, 2.299983, 12.21985, 101.8174
2013-05-23 13:04:49.0, 97.17648, 2.299685, 12.21931, 101.8193
2013-05-23 13:04:50.2, 97.12521, 2.299888, 12.21815, 101.8196
2013-05-23 13:04:51.3, 97.04099, 2.300222, 12.21709, 101.823
2013-05-23 13:04:52.3, 96.94296, 2.30061, 12.21631, 101.8254
2013-05-23 13:04:53.4, 97.00632, 2.300359, 12.21561, 101.8284
2013-05-23 13:04:54.6, 97.15414, 2.299773, 12.21512, 101.8308
2013-05-23 13:04:55.6, 97.01578, 2.300321, 12.21475, 101.8325
2013-05-23 13:04:56.8, 97.02243, 2.300295, 12.2146, 101.8333
2013-05-23 13:04:57.9, 96.99051, 2.300422, 12.2141, 101.8345
2013-05-23 13:04:59.0, 96.87973, 2.300861, 12.21393, 101.833
2013-05-23 13:05:00.1, 96.9133, 2.300728, 12.21379, 101.8337
2013-05-23 13:05:01.4, 96.91623, 2.300716, 12.21414, 101.832
2013-05-23 13:05:02.4, 96.94717, 2.300593, 12.21411, 101.832
2013-05-23 13:05:03.4, 96.80423, 2.30116, 12.21422, 101.8298
2013-05-23 13:05:04.5, 96.97537, 2.300482, 12.21451, 101.8281
2013-05-23 13:05:05.6, 96.92056, 2.300699, 12.21463, 101.8279
2013-05-23 13:05:06.8, 96.81302, 2.301125, 12.2149, 101.8267
2013-05-23 13:05:07.9, 96.94193, 2.300614, 12.2153, 101.8235
2013-05-23 13:05:08.9, 96.78885, 2.301221, 12.21567, 101.8223
2013-05-23 13:05:10.0, 96.82913, 2.301061, 12.21654, 101.8196
2013-05-23 13:05:11.3, 96.84756, 2.300988, 12.2173, 101.8203
2013-05-23 13:05:12.3, 96.88058, 2.300857, 12.21799, 101.8206
2013-05-23 13:05:13.3, 96.681, 2.301649, 12.21902, 101.8223
2013-05-23 13:05:14.4, 96.66422, 2.301716, 12.21973, 101.823
2013-05-23 13:05:15.7, 96.63071, 2.301849, 12.22104, 101.8235
2013-05-23 13:05:16.8, 96.64072, 2.301809, 12.2222, 101.8242
2013-05-23 13:05:17.9, 96.57352, 2.302076, 12.22342, 101.8267
2013-05-23 13:05:19.0, 96.64853, 2.301778, 12.22427, 101.8279
2013-05-23 13:05:20.0, 96.72964, 2.301456, 12.2247, 101.8286
2013-05-23 13:05:21.1, 96.68973, 2.301615, 12.22501, 101.8271
2013-05-23 13:05:22.5, 96.60739, 2.301941, 12.22536, 101.8262
2013-05-23 13:05:23.5, 96.64182, 2.301805, 12.22545, 101.8247
2013-05-23 13:05:24.6, 96.65689, 2.301745, 12.22557, 101.8235
2013-05-23 13:05:26.0, 96.51572, 2.302305, 12.22559, 101.8235
2013-05-23 13:05:27.1, 96.51456, 2.30231, 12.22572, 101.8254
2013-05-23 13:05:28.2, 96.52982, 2.302249, 12.22586, 101.825
2013-05-23 13:05:29.4, 96.60123, 2.301965, 12.22609, 101.8237
2013-05-23 13:05:30.5, 96.61594, 2.301907, 12.22646, 101.825
2013-05-23 13:05:31.6, 96.63089, 2.301848, 12.22675, 101.825
2013-05-23 13:05:32.6, 96.5256, 2.302266, 12.22687, 101.8257
2013-05-23 13:05:33.7, 96.53409, 2.302232, 12.22694, 101.8259
2013-05-23 13:05:34.7, 96.54025, 2.302208, 12.22704, 101.8259
2013-05-23 13:05:35.8, 96.39627, 2.302779, 12.22707, 101.8237
2013-05-23 13:05:36.9, 96.36197, 2.302916, 12.22701, 101.8237
2013-05-23 13:05:38.0, 96.35605, 2.302939, 12.22685, 101.8247
2013-05-23 13:05:39.1, 96.5018, 2.30236, 12.22681, 101.8271
2013-05-23 13:05:40.1, 96.42563, 2.302663, 12.22641, 101.8257
2013-05-23 13:05:41.2, 96.3143, 2.303105, 12.2261, 101.825
2013-05-23 13:05:42.2, 96.39499, 2.302785, 12.22594, 101.8271
2013-05-23 13:05:43.4, 96.34531, 2.302982, 12.22586, 101.8274
2013-05-23 13:05:44.4, 96.24924, 2.303364, 12.22575, 101.8267
2013-05-23 13:05:45.8, 96.40775, 2.302734, 12.22577, 101.8269
2013-05-23 13:05:47.1, 96.37308, 2.302871, 12.22574, 101.8262
2013-05-23 13:05:48.2, 96.25748, 2.303331, 12.22585, 101.8262
2013-05-23 13:05:49.3, 96.1893, 2.303602, 12.22604, 101.8254
2013-05-23 13:05:50.4, 96.30557, 2.30314, 12.2265, 101.8259
2013-05-23 13:05:51.6, 96.25729, 2.303332, 12.22687, 101.8252
2013-05-23 13:05:52.9, 96.19772, 2.303568, 12.22748, 101.8257
2013-05-23 13:05:54.2, 96.24429, 2.303383, 12.22807, 101.8269
2013-05-23 13:05:55.3, 96.2211, 2.303475, 12.22836, 101.8262
2013-05-23 13:05:56.4, 96.11905, 2.303881, 12.22849, 101.8242
2013-05-23 13:05:57.5, 96.17746, 2.303649, 12.22847, 101.8232
2013-05-23 13:05:58.5, 96.1655, 2.303696, 12.22841, 101.8237
2013-05-23 13:05:59.5, 96.03665, 2.304209, 12.22818, 101.823
2013-05-23 13:06:00.8, 96.05991, 2.304116, 12.22778, 101.8232
2013-05-23 13:06:02.0, 96.08359, 2.304022, 12.22716, 101.8228
2013-05-23 13:06:03.1, 96.01468, 2.304296, 12.22656, 101.8198
2013-05-23 13:06:04.3, 96.12973, 2.303838, 12.22589, 101.8193
2013-05-23 13:06:05.4, 96.09348, 2.303983, 12.22536, 101.8201
2013-05-23 13:06:06.5, 96.06821, 2.304083, 12.22499, 101.821
2013-05-23 13:06:07.8, 96.15134, 2.303753, 12.22482, 101.822
2013-05-23 13:06:09.1, 95.96176, 2.304507, 12.22473, 101.8213
2013-05-23 13:06:10.2, 96.06961, 2.304078, 12.22452, 101.8213
2013-05-23 13:06:11.5, 96.02408, 2.304259, 12.22401, 101.821
2013-05-23 13:06:12.6, 96.12717, 2.303849, 12.2236, 101.821
2013-05-23 13:06:13.8, 95.96786, 2.304482, 12.22292, 101.823
2013-05-23 13:06:14.9, 95.93375, 2.304618, 12.22179, 101.822
2013-05-23 13:06:16.0, 95.9949, 2.304375, 12.22046, 101.823
2013-05-23 13:06:17.1, 95.93137, 2.304627, 12.21837, 101.8237
2013-05-23 13:06:18.5, 95.83627, 2.305006, 12.2144, 101.8242
2013-05-23 13:06:19.5, 95.8511, 2.304947, 12.21103, 101.8254
2013-05-23 13:06:20.6, 95.81259, 2.3051, 12.20689, 101.8252
2013-05-23 13:06:21.8, 95.82999, 2.305031, 12.20082, 101.8286
2013-05-23 13:06:22.9, 95.83731, 2.305001, 12.19563, 101.8281
2013-05-23 13:06:24.2, 95.7706, 2.305267, 12.18929, 101.8281
2013-05-23 13:06:25.3, 95.7684, 2.305276, 12.18402, 101.8303
2013-05-23 13:06:26.5, 95.73605, 2.305405, 12.17856, 101.8311
2013-05-23 13:06:27.5, 95.76736, 2.30528, 12.17455, 101.8313
2013-05-23 13:06:28.9, 95.72525, 2.305448, 12.17104, 101.8303
2013-05-23 13:06:30.1, 95.79263, 2.30518, 12.16925, 101.8293
2013-05-23 13:06:31.1, 95.86313, 2.304899, 12.16809, 101.8293
2013-05-23 13:06:32.2, 95.61575, 2.305884, 12.16768, 101.8301
2013-05-23 13:06:33.3, 95.65506, 2.305727, 12.16776, 101.8306
2013-05-23 13:06:34.4, 95.64749, 2.305757, 12.16713, 101.8315
2013-05-23 13:06:35.5, 95.7139, 2.305493, 12.16727, 101.8301
2013-05-23 13:06:36.5, 95.48685, 2.306397, 12.16849, 101.8303
2013-05-23 13:06:37.6, 95.47958, 2.306426, 12.16927, 101.8293
2013-05-23 13:06:38.7, 95.58176, 2.306019, 12.16982, 101.8289
2013-05-23 13:06:39.7, 95.57809, 2.306034, 12.16972, 101.8308
2013-05-23 13:06:40.7, 95.48978, 2.306385, 12.16969, 101.8311
2013-05-23 13:06:41.8, 95.64957, 2.305749, 12.1691, 101.8296
2013-05-23 13:06:43.0, 95.62125, 2.305862, 12.16879, 101.8264
2013-05-23 13:06:44.2, 95.49661, 2.306358, 12.16927, 101.8269
2013-05-23 13:06:45.3, 95.50516, 2.306324, 12.16942, 101.8274
2013-05-23 13:06:46.4, 95.6207, 2.305864, 12.16862, 101.8274
2013-05-23 13:06:47.5, 95.49808, 2.306353, 12.16869, 101.8271
2013-05-23 13:06:48.7, 95.39774, 2.306752, 12.16849, 101.8237
2013-05-23 13:06:50.0, 95.43387, 2.306608, 12.1698, 101.8206
2013-05-23 13:06:51.1, 95.41177, 2.306696, 12.17128, 101.8208
2013-05-23 13:06:52.1, 95.5369, 2.306198, 12.17381, 101.8201
2013-05-23 13:06:53.3, 95.44229, 2.306575, 12.17563, 101.8206
2013-05-23 13:06:54.3, 95.33408, 2.307006, 12.17839, 101.8203
2013-05-23 13:06:55.4, 95.3353, 2.307001, 12.18082, 101.8208
2013-05-23 13:06:56.4, 95.38156, 2.306817, 12.18379, 101.8208
2013-05-23 13:06:57.4, 95.45987, 2.306505, 12.18701, 101.821
2013-05-23 13:06:58.7, 95.32425, 2.307045, 12.19122, 101.8267
2013-05-23 13:06:59.9, 95.33499, 2.307002, 12.19444, 101.8291
2013-05-23 13:07:00.9, 95.34659, 2.306956, 12.1972, 101.8284
2013-05-23 13:07:01.9, 95.21384, 2.307485, 12.20009, 101.8279
2013-05-23 13:07:03.0, 95.26938, 2.307264, 12.20311, 101.8269
2013-05-23 13:07:04.1, 95.3132, 2.307089, 12.20633, 101.8269
2013-05-23 13:07:05.2, 95.16202, 2.307692, 12.20958, 101.8252
2013-05-23 13:07:06.3, 95.2883, 2.307189, 12.21237, 101.8247
2013-05-23 13:07:07.3, 95.26657, 2.307275, 12.21448, 101.8242
2013-05-23 13:07:08.4, 95.20071, 2.307538, 12.21597, 101.8242
2013-05-23 13:07:09.5, 95.13931, 2.307783, 12.21759, 101.8245
2013-05-23 13:07:10.7, 95.26718, 2.307273, 12.21925, 101.8259
2013-05-23 13:07:11.9, 95.20737, 2.307511, 12.22066, 101.8245
2013-05-23 13:07:13.1, 95.06033, 2.308098, 12.22185, 101.8247
2013-05-23 13:07:14.4, 95.12112, 2.307855, 12.22241, 101.825
2013-05-23 13:07:15.5, 95.12357, 2.307846, 12.22278, 101.8245
2013-05-23 13:07:16.5, 95.16635, 2.307675, 12.22333, 101.825
2013-05-23 13:07:17.8, 95.17386, 2.307645, 12.22386, 101.8254
2013-05-23 13:07:19.0, 95.12387, 2.307844, 12.22437, 101.8235
2013-05-23 13:07:20.1, 95.08932, 2.307982, 12.22452, 101.8235
2013-05-23 13:07:21.5, 95.22708, 2.307432, 12.22481, 101.823
2013-05-23 13:07:22.6, 95.07236, 2.30805, 12.22491, 101.8242
2013-05-23 13:07:23.6, 95.09036, 2.307978, 12.22498, 101.8247
2013-05-23 13:07:24.7, 95.01279, 2.308287, 12.22501, 101.825
2013-05-23 13:07:25.8, 95.03677, 2.308192, 12.22519, 101.8262
2013-05-23 13:07:27.1, 94.99911, 2.308342, 12.22528, 101.8267
2013-05-23 13:07:28.2, 95.01657, 2.308272, 12.22543, 101.8279
2013-05-23 13:07:29.4, 94.99973, 2.30834, 12.22569, 101.8281
2013-05-23 13:07:30.4, 94.93192, 2.30861, 12.22588, 101.8279
2013-05-23 13:07:31.4, 94.90756, 2.308707, 12.226, 101.8286
2013-05-23 13:07:32.5, 94.85959, 2.308899, 12.22606, 101.8276
2013-05-23 13:07:33.6, 94.97458, 2.30844, 12.22601, 101.8271
2013-05-23 13:07:34.7, 94.93289, 2.308606, 12.22594, 101.8269
2013-05-23 13:07:35.7, 94.93723, 2.308589, 12.2254, 101.8262
2013-05-23 13:07:36.8, 95.05856, 2.308105, 12.2247, 101.8242
2013-05-23 13:07:37.9, 94.92703, 2.30863, 12.22342, 101.825
2013-05-23 13:07:39.0, 94.96713, 2.30847, 12.22151, 101.8245
2013-05-23 13:07:40.1, 94.91696, 2.30867, 12.21867, 101.8254
2013-05-23 13:07:41.3, 94.8765, 2.308831, 12.21475, 101.8259
2013-05-23 13:07:42.7, 94.80997, 2.309097, 12.20975, 101.8269
2013-05-23 13:07:43.8, 94.95139, 2.308533, 12.2047, 101.8281
2013-05-23 13:07:44.8, 94.8768, 2.30883, 12.19928, 101.8267
2013-05-23 13:07:45.9, 94.81955, 2.309059, 12.19476, 101.8267
2013-05-23 13:07:46.9, 94.80502, 2.309117, 12.19014, 101.8252
2013-05-23 13:07:47.9, 94.83298, 2.309005, 12.1868, 101.8235
2013-05-23 13:07:49.1, 94.798, 2.309145, 12.18394, 101.821
2013-05-23 13:07:50.3, 94.77335, 2.309243, 12.18236, 101.8206
2013-05-23 13:07:51.5, 94.7695, 2.309259, 12.18092, 101.8196
2013-05-23 13:07:53.0, 94.52512, 2.310235, 12.17943, 101.8188
2013-05-23 13:07:54.1, 94.70523, 2.309515, 12.17857, 101.8162
2013-05-23 13:07:55.2, 94.73434, 2.309399, 12.17758, 101.8162
2013-05-23 13:07:56.3, 94.65494, 2.309716, 12.17628, 101.8181
2013-05-23 13:07:57.3, 94.56119, 2.310091, 12.17407, 101.8176
2013-05-23 13:07:58.5, 94.65366, 2.309722, 12.17055, 101.8206
2013-05-23 13:07:59.7, 94.65298, 2.309724, 12.16699, 101.8198
2013-05-23 13:08:00.7, 94.80563, 2.309114, 12.16313, 101.8201
2013-05-23 13:08:01.8, 94.54404, 2.31016, 12.15944, 101.8171
2013-05-23 13:08:02.9, 94.55594, 2.310112, 12.15686, 101.8188
2013-05-23 13:08:04.0, 94.59305, 2.309964, 12.15462, 101.8193
2013-05-23 13:08:05.0, 94.60031, 2.309935, 12.15335, 101.8184
2013-05-23 13:08:06.1, 94.61655, 2.30987, 12.15337, 101.8176
2013-05-23 13:08:07.1, 94.56454, 2.310078, 12.15355, 101.8191
2013-05-23 13:08:08.1, 94.64352, 2.309762, 12.15541, 101.8181
2013-05-23 13:08:09.2, 94.6279, 2.309824, 12.1581, 101.8181
2013-05-23 13:08:10.4, 94.63516, 2.309795, 12.16125, 101.8171
2013-05-23 13:08:11.4, 94.60019, 2.309935, 12.16617, 101.8203
2013-05-23 13:08:12.8, 94.47238, 2.310446, 12.17363, 101.8213
2013-05-23 13:08:14.0, 94.5538, 2.310121, 12.1799, 101.8232
2013-05-23 13:08:15.1, 94.55716, 2.310107, 12.18587, 101.8242
2013-05-23 13:08:16.1, 94.55295, 2.310124, 12.19112, 101.8247
2013-05-23 13:08:17.3, 94.4061, 2.310711, 12.19705, 101.8242
2013-05-23 13:08:18.5, 94.54727, 2.310147, 12.20219, 101.8269
2013-05-23 13:08:19.6, 94.51022, 2.310295, 12.20605, 101.8281
2013-05-23 13:08:20.9, 94.44626, 2.310551, 12.20993, 101.8274
2013-05-23 13:08:22.0, 94.40189, 2.310728, 12.21217, 101.8281
2013-05-23 13:08:23.1, 94.48752, 2.310386, 12.21382, 101.8276
2013-05-23 13:08:24.4, 94.40482, 2.310716, 12.21593, 101.8286
2013-05-23 13:08:25.4, 94.35782, 2.310905, 12.21719, 101.8281
2013-05-23 13:08:26.5, 94.47311, 2.310443, 12.21785, 101.8296
2013-05-23 13:08:27.6, 94.35458, 2.310917, 12.21841, 101.8276
2013-05-23 13:08:28.7, 94.47476, 2.310437, 12.21906, 101.8271
2013-05-23 13:08:30.1, 94.3613, 2.31089, 12.22011, 101.8259
2013-05-23 13:08:31.4, 94.41611, 2.310671, 12.22113, 101.8257
2013-05-23 13:08:32.4, 94.22409, 2.311439, 12.22173, 101.8247
2013-05-23 13:08:33.5, 94.45413, 2.310519, 12.222, 101.8247
2013-05-23 13:08:34.7, 94.34879, 2.310941, 12.22229, 101.8242
2013-05-23 13:08:35.8, 94.35574, 2.310913, 12.22244, 101.8235
2013-05-23 13:08:36.9, 94.34952, 2.310938, 12.22269, 101.8235
2013-05-23 13:08:38.1, 94.3887, 2.310781, 12.22298, 101.8228
2013-05-23 13:08:39.2, 94.38724, 2.310787, 12.22343, 101.8235
2013-05-23 13:08:40.3, 94.27713, 2.311227, 12.22375, 101.8223
2013-05-23 13:08:41.3, 94.34671, 2.310949, 12.22409, 101.8198
2013-05-23 13:08:42.4, 94.29788, 2.311144, 12.2245, 101.8186
2013-05-23 13:08:43.4, 94.4288, 2.310621, 12.22472, 101.8179
2013-05-23 13:08:44.5, 94.34488, 2.310956, 12.22513, 101.8179
2013-05-23 13:08:45.6, 94.21713, 2.311467, 12.22539, 101.8184
2013-05-23 13:08:46.7, 94.23099, 2.311412, 12.22569, 101.8171
2013-05-23 13:08:47.8, 94.05795, 2.312104, 12.22612, 101.8169
2013-05-23 13:08:48.9, 94.05338, 2.312123, 12.22623, 101.8152
2013-05-23 13:08:50.0, 94.14017, 2.311775, 12.22656, 101.8171
2013-05-23 13:08:51.1, 94.22842, 2.311422, 12.22682, 101.8186
2013-05-23 13:08:52.3, 94.09048, 2.311974, 12.22722, 101.8196
2013-05-23 13:08:53.5, 94.13242, 2.311806, 12.22758, 101.8196
2013-05-23 13:08:54.5, 94.05319, 2.312124, 12.22762, 101.8203
2013-05-23 13:08:55.8, 94.07858, 2.312022, 12.22766, 101.8188
2013-05-23 13:08:56.9, 94.05899, 2.3121, 12.22794, 101.8186
2013-05-23 13:08:57.9, 94.17844, 2.311622, 12.22832, 101.8198
2013-05-23 13:08:59.1, 94.18423, 2.311599, 12.22853, 101.8206
2013-05-23 13:09:00.1, 94.09525, 2.311955, 12.22865, 101.8193
2013-05-23 13:09:01.2, 94.09164, 2.31197, 12.22873, 101.8186
2013-05-23 13:09:02.7, 94.17667, 2.311629, 12.22856, 101.8184
2013-05-23 13:09:03.8, 94.04904, 2.31214, 12.22839, 101.8179
2013-05-23 13:09:04.8, 94.10629, 2.311911, 12.22865, 101.8167
2013-05-23 13:09:06.1, 94.00552, 2.312314, 12.22859, 101.8181
2013-05-23 13:09:07.2, 94.02347, 2.312243, 12.22812, 101.8191
2013-05-23 13:09:08.2, 94.03598, 2.312192, 12.22765, 101.8186
2013-05-23 13:09:09.5, 94.05313, 2.312124, 12.2271, 101.8196
2013-05-23 13:09:10.7, 93.96725, 2.312468, 12.22638, 101.8206
2013-05-23 13:09:11.8, 93.9769, 2.312429, 12.22588, 101.822
2013-05-23 13:09:13.1, 94.03177, 2.312209, 12.22514, 101.8232
2013-05-23 13:09:14.2, 93.94858, 2.312542, 12.22444, 101.8237
2013-05-23 13:09:15.2, 93.83798, 2.312986, 12.22353, 101.824
2013-05-23 13:09:16.5, 94.08066, 2.312013, 12.22223, 101.825
2013-05-23 13:09:17.7, 93.83762, 2.312987, 12.22156, 101.823
2013-05-23 13:09:18.9, 93.89377, 2.312762, 12.22096, 101.8225
2013-05-23 13:09:20.3, 93.9332, 2.312604, 12.22086, 101.8218
2013-05-23 13:09:21.4, 93.80551, 2.313116, 12.2206, 101.8193
2013-05-23 13:09:22.7, 93.83963, 2.312979, 12.22034, 101.8171
2013-05-23 13:09:23.9, 93.77347, 2.313244, 12.22047, 101.8157
2013-05-23 13:09:25.0, 93.81442, 2.31308, 12.22079, 101.8147
2013-05-23 13:09:26.1, 93.73087, 2.313415, 12.22116, 101.814
2013-05-23 13:09:27.3, 93.73593, 2.313395, 12.22121, 101.8147
2013-05-23 13:09:28.3, 93.70511, 2.313518, 12.22105, 101.8142
2013-05-23 13:09:29.4, 93.80795, 2.313106, 12.22063, 101.8147
2013-05-23 13:09:30.5, 93.73898, 2.313382, 12.22043, 101.8145
